scaffold104,1008550,402248,1021394,1000,277,1000,1000,283,1000
scaffold146,1627,724,1627,1000,481,1000,1000,432,1000
scaffold147,7922,2088,8759,1000,243,1000,1000,317,1000
scaffold101,201530,66144,213708,1000,286,1000,1000,365,1000
scaffold149,3232,1260,3372,1000,302,1000,860,392,1000
scaffold142,26821,8589,26821,1000,352,1000,1000,197,1000
scaffold150,5473,1446,6457,1000,252,1000,1000,265,1000
scaffold141,9234,2331,10115,1000,208,1000,1000,255,1000
scaffold118,205913,68545,222409,1000,338,1000,1000,455,1000
scaffold129,269045,97083,275280,1000,232,1000,1000,385,1000
scaffold138,54222,18172,56665,1000,490,1000,958,438,1000
scaffold152,17529,5919,20799,1000,311,1000,1000,343,1000
scaffold135,432144,145744,442604,957,267,1000,1000,340,1000
scaffold131,227516,66735,255601,1000,272,1000,1000,306,1000
scaffold157,168188,59366,173440,1000,331,1000,1000,275,1000
scaffold139,68639,24131,80989,1000,408,1000,1000,249,1000
scaffold159,351179,117839,359960,1000,385,1000,1000,275,1000
scaffold161,27891,7432,31933,1000,209,1000,1000,244,1000
scaffold91,511879,171220,530381,1000,322,1000,1000,234,1000
scaffold162,38312,13799,38701,1000,516,1000,1000,334,1000
scaffold165,1436,631,1436,1000,451,1000,1000,412,1000
scaffold148,789185,285318,795336,1000,317,1000,1000,303,1000
scaffold167,510,131,510,510,131,510,510,131,510
scaffold163,18685,7315,19527,1000,425,1000,1000,294,1000
scaffold164,12698,5601,12728,1000,444,1000,1000,306,1000
scaffold145,555753,165734,582279,1000,321,1000,1000,319,1000
scaffold171,843,185,843,843,185,843,843,185,843
scaffold172,15110,5769,15110,1000,341,1000,1000,426,1000
scaffold151,44633,12684,49725,1000,378,1000,1000,261,1000
scaffold174,6282,1661,6318,1000,259,1000,1000,259,1000
scaffold169,36231,12363,41743,171,69,1000,1000,371,1000
scaffold175,23648,7338,26274,1000,317,1000,1000,315,1000
scaffold156,338961,108721,351038,1000,317,1000,1000,334,1000
scaffold178,12238,3842,12238,1000,276,1000,1000,251,1000
scaffold173,286760,96197,291311,1000,351,1000,1000,239,1000
scaffold82,535552,176813,570260,1000,560,1000,1000,266,1000
scaffold180,119539,39676,121263,1000,336,1000,1000,265,1000
scaffold170,579073,196810,587473,1000,229,1000,1000,493,1000
scaffold177,12329,3560,12909,1000,274,1000,1000,270,1000
scaffold179,84063,28771,94316,1000,253,1000,1000,605,1000
scaffold176,40288,11900,50014,1000,225,1000,1000,401,1000
scaffold153,352558,112443,375724,1000,324,1000,1000,328,1000
scaffold168,414041,141340,429452,772,325,1000,1000,317,1000
scaffold140,435550,165695,457410,254,131,1000,1000,321,1000
scaffold160,703171,228177,722649,687,176,1000,1000,307,1000
scaffold166,65771,18570,76207,903,234,1000,456,166,1000
scaffold191,1755,514,1755,1000,290,1000,1000,300,1000
scaffold189,19368,6498,20195,1000,378,1000,956,412,1000
scaffold128,271297,92371,291648,1000,332,1000,1000,327,1000
scaffold187,210706,69312,218892,1000,427,1000,808,210,1000
scaffold195,4264,1288,4290,1000,316,1000,1000,300,1000
scaffold196,725,151,725,725,151,725,725,151,725
scaffold184,78151,24054,87450,1000,214,1000,1000,265,1000
scaffold192,16346,6249,16358,1000,438,1000,1000,387,1000
scaffold158,362088,130352,367705,1000,315,1000,1000,376,1000
scaffold193,65114,25130,71861,1000,365,1000,1000,427,1000
scaffold200,151523,57539,151997,1000,339,1000,1000,239,1000
scaffold154,131865,43638,142776,1000,232,1000,1000,406,1000
scaffold203,627,180,627,627,180,627,627,180,627
scaffold202,31789,13588,33983,1000,348,1000,1000,434,1000
scaffold190,20036,6198,21785,1000,459,1000,363,165,1000
scaffold182,393499,125197,405541,685,206,1000,814,159,1000
scaffold183,231271,88078,240902,1000,259,1000,1000,375,1000
scaffold205,207260,71390,209450,1000,306,1000,832,268,1000
scaffold209,1277,338,1277,1000,254,1000,1000,261,1000
scaffold198,36747,14689,39104,264,93,1000,1000,329,1000
scaffold211,33616,10422,35538,873,235,1000,1000,252,1000
scaffold206,104148,28909,111271,1000,371,1000,962,257,1000
scaffold213,49878,13627,53911,541,174,1000,1000,278,1000
scaffold210,81220,23801,87269,1000,256,1000,556,191,1000
scaffold181,851570,290776,866268,445,169,1000,1000,316,1000
scaffold208,25373,9251,26849,837,270,1000,595,218,1000
scaffold199,119866,38703,128504,936,341,1000,1000,274,1000
scaffold218,780,255,780,780,255,780,780,255,780
scaffold212,91652,27724,101997,1000,280,1000,1000,346,1000
scaffold216,9237,3794,9250,1000,540,1000,1000,496,1000
scaffold107,2621124,886227,2671896,1000,303,1000,1000,320,1000
scaffold188,511808,170470,519528,1000,296,1000,1000,282,1000
scaffold220,11153,4011,11153,1000,278,1000,1000,366,1000
scaffold223,46675,12600,50818,1000,221,1000,1000,272,1000
scaffold201,190913,57949,214911,793,244,1000,1000,315,1000
scaffold225,75878,28007,76006,1000,307,1000,1000,469,1000
scaffold227,1068,352,1068,1000,328,1000,1000,334,1000
scaffold207,423064,151135,435437,1000,258,1000,1000,352,1000
scaffold229,838,443,838,838,443,838,838,443,838
scaffold197,447730,173786,453202,1000,191,1000,1000,386,1000
scaffold230,139970,47813,141141,1000,239,1000,1000,439,1000
scaffold214,535218,203963,551250,1000,268,1000,1000,372,1000
scaffold185,695726,235654,717519,959,300,1000,68,32,1000
scaffold224,247591,78311,259489,1000,278,1000,1000,366,1000
scaffold234,25629,8665,25792,1000,433,1000,1000,408,1000
scaffold217,145855,45172,161819,1000,322,1000,941,256,1000
scaffold237,1132,262,1132,1000,230,1000,1000,237,1000
scaffold233,83333,22691,91829,1000,318,1000,1000,311,1000
scaffold238,11535,4438,13338,855,397,1000,1000,496,1000
scaffold236,33431,11170,36302,180,69,1000,691,165,1000
scaffold235,51331,17900,57494,1000,311,1000,384,139,1000
scaffold242,3064,1243,3064,1000,420,1000,1000,293,1000
scaffold215,229032,77874,242092,1000,248,1000,1000,335,1000
scaffold241,29116,8072,31241,1000,344,1000,1000,287,1000
scaffold245,3539,941,3562,977,243,1000,1000,292,1000
scaffold240,50049,15113,58119,1000,362,1000,1000,225,1000
scaffold186,399017,145852,422032,1000,285,1000,1000,321,1000
scaffold221,175310,53232,184673,1000,382,1000,1000,373,1000
scaffold239,226479,75481,233532,1000,333,1000,880,208,1000
scaffold250,14982,4294,16768,1000,410,1000,1000,282,1000
scaffold194,823207,261651,856034,1000,346,1000,1000,257,1000
scaffold246,17037,7186,24763,131,71,1000,1000,535,1000
scaffold231,94560,28727,110400,1000,402,1000,1000,296,1000
scaffold254,403,127,403,403,127,403,403,127,403
scaffold251,11438,3358,11699,1000,351,1000,989,272,1000
scaffold256,2697,1085,2697,1000,472,1000,1000,317,1000
scaffold253,4097,1407,5324,226,74,1000,1000,392,1000
scaffold249,26022,7015,29753,1000,275,1000,1000,311,1000
scaffold257,8834,3541,9709,1000,315,1000,448,140,1000
scaffold204,314460,97871,327349,1000,244,1000,989,221,1000
scaffold247,64893,18394,77913,1000,387,1000,1000,259,1000
scaffold261,11841,3737,12011,1000,292,1000,1000,401,1000
scaffold259,23466,8332,23466,1000,302,1000,1000,357,1000
scaffold262,13139,4317,15682,1000,270,1000,1000,344,1000
scaffold265,11849,4369,17394,1000,501,1000,743,269,1000
